hgnc_symbol,gene_biotype,mean.CPM,min.CPM,max.CPM,express.in.libs
NLRP8,protein_coding,0.012523070109332277,0,0.25046140218664553,1
NLRP9,protein_coding,0,0,0,0
NMBR,protein_coding,0,0,0,0
NME5,protein_coding,0.019113511988819658,0,0.173176853614688,3
NMRK2,protein_coding,0,0,0,0
NMS,protein_coding,0,0,0,0
NMU,protein_coding,0,0,0,0
NMUR2,protein_coding,0.004609873019996613,0,0.09219746039993226,1
NNMT,protein_coding,0.019398051513604436,0,0.17053286877883367,3
NOBOX,protein_coding,0.006496645098688483,0,0.12993290197376967,1
NOL4,protein_coding,0.03838105574983322,0,0.37569210327996827,3
NOS2,protein_coding,0.00515838060720924,0,0.10316761214418481,1
NOS3,protein_coding,0.11005140657759059,0,0.5009228043732911,8
NOSTRIN,protein_coding,0.10401069083921138,0,1.0153507529683805,8
NOTO,protein_coding,0.043225549891686796,0,0.2765923811997968,4
NOTUM,protein_coding,0.032744994761863815,0,0.3962295250101691,3
NOVA1,protein_coding,0.06624356143903065,0,0.3962295250101691,5
NOVA2,protein_coding,0.08731316371506219,0,0.8766149076532593,5
NOX1,protein_coding,0.061597800825362835,0,0.3162743203863009,6
NOX3,protein_coding,0.0042746758306209595,0,0.08549351661241919,1
NOX4,protein_coding,0.03640610955365261,0,0.20307015059367609,5
NOX5,protein_coding,0.07933767780450977,0,0.6261535054666139,6
NOXO1,protein_coding,0.05835552859433618,0,0.44471373455027496,6
NPAP1,protein_coding,0.030525016831337667,0,0.25046140218664553,4
NPAS1,protein_coding,0.1255283252550081,0,1.023197212673002,8
NPAS3,protein_coding,0.11744848251605856,0,1.4336264795077238,5
NPAS4,protein_coding,0.01087140807466275,0,0.12523070109332277,2
NPBWR1,protein_coding,0.02155869450656046,0,0.30124098815743955,2
NPBWR2,protein_coding,0.005844796288088644,0,0.11689592576177288,1
NPC1L1,protein_coding,0.02170857634248045,0,0.34197406644967676,2
NPFF,protein_coding,0.0034808442518058933,0,0.06961688503611786,1
NPFFR2,protein_coding,0.008884548850617572,0,0.09219746039993226,2
NPHS1,protein_coding,0.05713571693385774,0,0.511598606336501,5
NPHS2,protein_coding,0.004609873019996613,0,0.09219746039993226,1
NPIPA2,protein_coding,0.11170658824604147,0,0.7744558305873248,7
NPIPA5,protein_coding,0.5860690778819911,0,6.475247159117108,7
NPIPB8,protein_coding,0.039700214441063676,0,0.7940042888212735,1
NPM2,protein_coding,0.06656619602008616,0,0.5158380607209241,6
NPNT,protein_coding,0.01658711356299214,0,0.17053286877883367,2
NPPB,protein_coding,0,0,0,0
NPPC,protein_coding,0.022211667485092606,0,0.34106573755766734,2
NPR2,protein_coding,0.17129870426233704,0,0.6092104517810283,10
NPS,protein_coding,0,0,0,0
NPSR1,protein_coding,0.0042746758306209595,0,0.08549351661241919,1
NPVF,protein_coding,0,0,0,0
NPW,protein_coding,0.03354777067161484,0,0.36640465808483086,3
NPY,protein_coding,0.012824027491862877,0,0.25648054983725754,1
NPY1R,protein_coding,0.025046140218664553,0,0.5009228043732911,1
NPY2R,protein_coding,0.004609873019996613,0,0.09219746039993226,1
NPY4R,protein_coding,0.008884548850617572,0,0.09219746039993226,2
NPY5R,protein_coding,0.012516731029654135,0,0.15813716019315044,2
NR0B1,protein_coding,0.018185748752700383,0,0.18439492079986453,2
NR0B2,protein_coding,0.0463800263645422,0,0.40614030118735217,3
NR1H4,protein_coding,0.009219746039993227,0,0.18439492079986453,1
NR1I2,protein_coding,0.07277591755430328,0,0.5009228043732911,7
NR2E1,protein_coding,0.04814622395542745,0,0.37569210327996827,4
NR2E3,protein_coding,0.11341755757214204,0,0.5158380607209241,9
NR2F1,protein_coding,0.00658679869379461,0,0.1317359738758922,1
NR2F2,protein_coding,0.04168977180576029,0,0.36878984159972905,4
NR5A1,protein_coding,0.01459143704503944,0,0.20633522428836962,2
NR5A2,protein_coding,0.0542786245627619,0,0.3224188049620183,6
NRAP,protein_coding,0,0,0,0
NRG3,protein_coding,0.052197891684072094,0,0.5009228043732911,3
NRK,protein_coding,0.019969451667101262,0,0.17053286877883367,3
NRN1L,protein_coding,0.06509023073870204,0,0.4187249735388409,5
NRSN1,protein_coding,0.03566948677791462,0,0.25046140218664553,4
NRXN1,protein_coding,0.11631065927424833,0,0.7375796831994581,9
NRXN3,protein_coding,0.17224242944755075,0,1.4214910541557326,7
NT5C1A,protein_coding,0.006261535054666138,0,0.12523070109332277,1
NT5C1B-RDH14,protein_coding,0,0,0,0
NTF3,protein_coding,0.004609873019996613,0,0.09219746039993226,1
NTF4,protein_coding,0.014034430923357188,0,0.17932005425414313,2
NTM,protein_coding,0.06493645758129435,0,0.37569210327996827,6
NTN4,protein_coding,0.27776401984210314,0,2.2696874671720657,11
NTN5,protein_coding,0.15243759528675277,0,0.5943442875152537,9
NTNG1,protein_coding,0.17110226702342704,0,0.6325486407726018,13
NTRK2,protein_coding,0.16270801240074223,0,0.6325486407726018,10
NTS,protein_coding,0.026019289590590522,0,0.34106573755766734,2
NTSR2,protein_coding,0.012523070109332277,0,0.25046140218664553,1
NUDT11,protein_coding,0.1683857432551576,0,0.7694416495117727,10
NUP62CL,protein_coding,0.14595307651955805,0,0.9285085092976633,9
NUTM1,protein_coding,0.08758373601386522,0,0.5177414309448465,9
NWD1,protein_coding,0.05276657947574575,0,0.5943442875152537,2
NWD2,protein_coding,0.06843846010393446,0,0.5009228043732911,5
NXF2,protein_coding,0,0,0,0
NXF2B,protein_coding,0.030682884325171206,0,0.3962295250101691,3
NXF3,protein_coding,0.19587436463607083,0,1.035482861889693,12
NXNL1,protein_coding,0,0,0,0
NXNL2,protein_coding,0.008549351661241919,0,0.17098703322483838,1
NXPE1,protein_coding,0.06252703914369866,0,0.7375796831994581,2
NXPE2,protein_coding,0.017053286877883368,0,0.34106573755766734,1
NXPE4,protein_coding,0.010136856421300064,0,0.20273712842600128,1
NXPH1,protein_coding,0.01514608390528371,0,0.12523070109332277,3
NXPH2,protein_coding,0,0,0,0
